Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14
Gene1	6.84	6.233333333	6.283333333	4.036666667	7.132	4.503333333	5.47	3.88	6.195	4.285	3.25	2.6	4.335	1.6
Gene2	2.246	2.633333333	1.99	3.226666667	2.136	2.736666667	2.426666667	3.353333333	2.02	0.685	3.965	3.455	4.05	3.495
Gene3	17.02	22	21.61	22.92333333	12.748	19.56	19.95	21.21333333	9.595	4.935	5.29	4.425	3.53	5.96
Gene4	27.844	26.66	40.93333333	33.3	21.24	20.65666667	30.56333333	23.46333333	14.35	11.43	28.845	26.59	27.83	28.01
Gene5	0.858	0.93	0.26	0.486666667	1.51	3.32	1.74	2.016666667	1.325	2.62	1.72	0	0.12	1.33
Gene6	0.26	0.42	0.306666667	0.233333333	0.214	0.196666667	0.063333333	0.29	0.11	0.035	0.265	0.31	0.125	0.315
Gene7	520.484	724.71	649.8766667	465.11	303.558	459.8433333	347.1233333	350.25	365.59	234.27	835.125	13.365	340.7	450.455
Gene8	0.246	0.34	0.473333333	0.223333333	0.352	0.726666667	0.493333333	0.556666667	0.315	0.355	1.615	0.09	0.3	1.14
Gene9	0.032	0.026666667	0.01	0.04	0.004	0.01	0.056666667	0.01	0.005	0	0.235	0.01	0.01	0.15
Gene10	10.51	10.74666667	11.63	13.67	7.608	8.423333333	11.11	12.21666667	7.97	6.575	5.02	9.045	7.01	7.33
Gene11	0.576	0.166666667	1.086666667	0.08	0.13	0.163333333	0.113333333	0.09	0.55	0.075	0.08	0.125	0.115	0.105
Gene12	2.06	2.406666667	2.6	1.966666667	2.162	2.603333333	3.233333333	2.48	1.15	0.815	0.025	3.63	2.34	1.54
Gene13	4.692	9.313333333	4.196666667	6.953333333	1.422	4.156666667	1.943333333	1.656666667	3.525	1.1	5.515	1.15	3.73	2.65
Gene14	0.104	0.11	0.02	0.086666667	0.068	0.076666667	0.066666667	0.03	0.175	0.03	0.13	0.03	0.045	0.115
